Name,Critic_Score,User_Score
Wii Sports,7.7,8
Super Mario Bros.,10,8.2
Counter-Strike: Global Offensive,8,7.5
Mario Kart Wii,8.2,9.1
PLAYERUNKNOWN'S BATTLEGROUNDS,8.6,4.7
Minecraft,10,7.8
Wii Sports Resort,8,8.8
Pokemon Red / Green / Blue Version,9.4,8.8
New Super Mario Bros.,9.1,8.1
New Super Mario Bros. Wii,8.6,9.2
Tetris,9.4,8.7
Call of Duty: Modern Warfare,8,3.3
Duck Hunt,7.5,8.3
Wii Play,5.9,6.5
Mario Kart 8 Deluxe,9.3,8.7
Kinect Adventures!,6.7,
Nintendogs,8.4,8.5
Mario Kart DS,9.1,9.4
Pokemon Gold / Silver Version,9.2,8.8
Wii Fit,7.9,
Wii Fit Plus,8,
Super Mario World,8.5,9.3
Grand Theft Auto V,9.4,8.3
Grand Theft Auto V,9.7,8.4
Brain Age: Train Your Brain in Minutes a Day,8.1,
Super Smash Bros. Ultimate,9.4,9.7
Mario Kart 7,8.2,8.3
Super Mario Land,,
Pokemon Diamond / Pearl Version,8.6,
Super Mario Odyssey,9.9,9
The Legend of Zelda: Breath of the Wild,9.9,10
Pokemon Sword / Shield,8,4.6
Grand Theft Auto: San Andreas,9.5,9.1
Super Mario Bros. 3,9.8,9.3
Garry's Mod,,
Pokemon X/Y,8.9,9.7
Uncharted 4: A Thief's End,9.2,8.4
Pokemon Ruby / Sapphire Version,8.8,8.6
Pokemon Sun/Moon,9,7.7
Grand Theft Auto: Vice City,9.6,8.8
Grand Theft Auto V,10,
Pokemon Black / White Version,8.6,9
Call of Duty: Black Ops 3,8.1,4.9
Counter-Strike: Source,9.3,
Sonic the Hedgehog,8.6,8.3
Gran Turismo 3: A-Spec,9.3,8.9
Brain Age 2: More Training in Minutes a Day,8,
Call of Duty: Modern Warfare 3,8.7,
Call of Duty: Black Ops,8.8,
Pokemon Yellow: Special Pikachu Edition,8.7,8.8
Halo 3,9.6,9.5
Pokemon Omega Ruby/Pokemon Alpha Sapphire,8.3,7.4
Terraria,8.8,8.6
Red Dead Redemption 2,9.8,7.9
Call of Duty: Black Ops II,9.3,
Call of Duty: Black Ops II,9.3,
Call of Duty: Modern Warfare 2,9.5,9
Animal Crossing: New Horizons,9,5.4
Call of Duty: WWII,8,4.3
Call of Duty: Modern Warfare 3,8.8,
New Super Mario Bros. 2,7.5,7.3
Super Smash Bros. Brawl,9.2,9.7
Marvel's Spider-Man,9.1,8.7
Grand Theft Auto III,9.5,
Portal 2,9.7,9
Minecraft,8.5,
Super Mario Galaxy,9.7,9.6
Pokemon Heart Gold / Soul Silver Version,8.6,
Super Mario 3D Land,8.9,8.4
Call of Duty: Black Ops,8.7,
Grand Theft Auto V,9.6,7.7
Animal Crossing: New Leaf,8.6,8.8
The Witcher 3: Wild Hunt,9.3,9.4
Diablo III,9,4.1
Half-Life 2,9.7,
Pokemon FireRed / LeafGreen Version,8.3,
World of Warcraft,9.2,8
"Pokemon: Let's Go, Pikachu/Eevee",8,6.2
Gran Turismo 5,8.3,
Super Mario 64,9.7,9
FIFA 18,8.3,3.4
The Last of Us Remastered,9.5,9.1
Gran Turismo 4,8.7,
Animal Crossing: Wild World,8.5,
Super Mario Land 2: 6 Golden Coins,9,8.5
Grand Theft Auto IV,10,
Super Mario 64 DS,8.6,
God of War (2018),9.7,10
